Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Spain,3330,79.1,0,1999
Sri Lanka,2380,71.6,0,1999
St. Kitts and Nevis,2380,69.5,,1999
St. Lucia,2710,73.1,0,1999
St. Vincent and the Grenadines,2470,71.1,,1999
Sudan,2180,62.9,0,1999
Suriname,2490,70.2,0.0715,1999
Sweden,3120,79.8,0,1999
Switzerland,3320,80.1,0,1999
Syria,,70.9,0,1999
Taiwan,3100,76.5,,1999
Tajikistan,1940,66.3,3.05,1999
Tanzania,2060,53,0,1999
Thailand,2560,71.4,2.23,1999
Timor-Leste,1830,58.5,0,1999
Togo,2150,56.5,0,1999
Tonga,,70.6,,1999
Trinidad and Tobago,2670,69.8,0,1999
Tunisia,3370,74,0,1999
Turkey,3620,72.8,0,1999
Turkmenistan,2600,65.5,0,1999
Tuvalu,,64,,1999
UAE,3380,69.2,,1999
Uganda,2250,49.1,14,1999
UK,3400,77.6,0.393,1999
Ukraine,2780,68.3,1.01,1999
Uruguay,2830,74.4,0,1999
USA,3670,76.9,0,1999
USSR,0,,,1999
Uzbekistan,2430,65.5,,1999
Vanuatu,2720,63,,1999
Venezuela,2340,70.3,2.73,1999
Vietnam,2200,72,0,1999
Yemen,2080,63,0,1999
Yugoslavia,0,,,1999
Zambia,1960,45.3,0,1999
Zimbabwe,2000,48.5,,1999
Afghanistan,1790,54.7,,2000
Albania,2730,75.4,0,2000
Algeria,2810,71,0,2000
Andorra,,80.8,,2000
Angola,1790,52.8,7.56,2000
Antigua and Barbuda,2150,74.8,,2000
Argentina,3260,74.2,1.87,2000
Armenia,2240,72.4,0,2000
Australia,2990,79.7,0,2000
Austria,3730,78.5,0.0321,2000
Azerbaijan,2280,66.5,0,2000
Bahamas,2780,71.3,,2000
Bahrain,,71.7,,2000
Bangladesh,2260,65.5,77.6,2000
Barbados,2800,74.7,,2000
Belarus,2990,69,0.026,2000
Belgium,3710,78,0.0513,2000
Belize,2690,70,0,2000
Benin,2250,57.4,0,2000
Bermuda,2650,,,2000
Bhutan,,65.7,0,2000
Bolivia,2080,66.5,2.28,2000
Bosnia and Herzegovina,2800,75.5,0,2000
Botswana,2080,45.5,0,2000
Brazil,2880,71.2,0,2000
Brunei,2800,72.5,,2000
Bulgaria,2810,70.2,0,2000
Burkina Faso,2320,52.5,0,2000
Burundi,,44.7,0,2000
Cambodia,2120,60.4,0,2000
Cameroon,2120,54.5,0,2000
Canada,3510,79.4,0.105,2000
Cape Verde,2360,70.3,0,2000
Central African Republic,1980,43.8,0,2000
Chad,1950,52.3,0,2000
Chile,2830,76.9,0.334,2000
China,2810,71.3,0,2000
Colombia,2780,74.2,7.12,2000
Comoros,,61.4,0,2000
"Congo, Dem. Rep.",,53.9,0,2000
"Congo, Rep.",2180,53,0,2000
Costa Rica,2800,77.9,0.218,2000
Cote d'Ivoire,2610,51.1,0,2000
Croatia,2560,74.7,0.0031,2000
Cuba,3030,77,,2000
Cyprus,2680,76.7,,2000
Czech Republic,3080,75.2,0,2000
Czechoslovakia,0,,,2000
Denmark,3310,77.2,0.0181,2000
Djibouti,1990,60.4,0,2000
Dominica,3060,72.1,,2000
Dominican Republic,2220,73.7,0.454,2000
Ecuador,2290,74.5,2.55,2000
Egypt,3370,68.5,1.2,2000
El Salvador,2540,73.1,0.815,2000
Equatorial Guinea,,57.6,,2000
Eritrea,,54.8,,2000
Estonia,3050,71,0.00838,2000
Eswatini,2350,48.3,0,2000
Ethiopia,1790,51.1,36,2000
Fiji,2830,65.8,0,2000
Finland,3150,78,0,2000
France,3610,79.2,0.213,2000
French Polynesia,2810,,,2000
Gabon,2720,59.6,0,2000
Gambia,2590,61.6,0,2000
Georgia,2570,70.7,0.784,2000
Germany,3340,78.4,0,2000
Ghana,2510,59.6,0,2000
Greece,3600,78.4,0.0742,2000
Grenada,2220,72,,2000
Guatemala,2160,66.7,1.32,2000
Guinea,2360,54.3,0,2000
Guinea-Bissau,2250,51.5,0,2000
Guyana,2730,64,0,2000
Haiti,1960,57.4,0,2000
Honduras,2370,70.1,0,2000
"Hong Kong, China",3050,80.4,,2000
Hungary,3170,71.9,0,2000
Iceland,3150,80.3,,2000
India,2380,62.9,0,2000
Indonesia,2440,67.2,0,2000
Iran,3050,71.9,0,2000
Iraq,2180,68.6,0,2000
Ireland,3730,76.8,0.0141,2000
Israel,3550,78.9,0,2000
Italy,3670,79.6,0.763,2000
Jamaica,2730,74.6,0,2000
Japan,2900,81.6,0,2000
Jordan,2730,72.9,0,2000
Kazakhstan,2810,64.7,0,2000
Kenya,2050,54.8,0,2000
Kiribati,2840,56.4,,2000
Kuwait,3440,78.1,,2000
Kyrgyz Republic,2400,67.2,1.8,2000
Lao,2120,58.4,0,2000
Latvia,2790,70.7,0,2000
Lebanon,3290,74.8,,2000
Lesotho,2460,48.5,0,2000
Liberia,2120,54.8,0,2000
Libya,,74.9,,2000
Lithuania,3160,72.2,0.0021,2000
Luxembourg,3480,78,,2000
"Macao, China",2470,,,2000
Madagascar,2010,59.5,0,2000
Malawi,2200,45.9,0,2000
Malaysia,2840,73,0,2000
Maldives,2440,72.2,0,2000
Mali,2450,53.3,0,2000
Malta,3330,78.8,,2000
Marshall Islands,,62.7,,2000
Mauritania,2630,63.6,0.573,2000
Mauritius,2900,72.3,,2000
Mexico,3040,74.2,5.74,2000
"Micronesia, Fed. Sts.",,62.6,0.0335,2000
Moldova,2500,68.9,0,2000
Monaco,,78.8,,2000
Mongolia,2180,61,,2000
Montenegro,0,73.7,0,2000
Morocco,3060,69.5,0,2000
Mozambique,1990,52.2,0,2000
Myanmar,1910,58.9,,2000
Namibia,2250,53.9,0,2000
Nauru,,59.1,,2000
Nepal,2260,65.4,0,2000
Netherlands,3270,78.3,0,2000
Netherlands Antilles,3080,,,2000
New Caledonia,2770,,,2000
New Zealand,3170,78.4,,2000
Nicaragua,2130,73.7,0,2000
Niger,2330,51.9,0,2000
Nigeria,2610,54.6,0,2000
North Korea,2150,63.9,,2000
North Macedonia,2750,71.5,0.0856,2000
Norway,3380,78.9,0.0153,2000
Oman,2590,69.1,,2000
Pakistan,2400,61,0,2000
Palau,,66.4,,2000
Palestine,,70.2,0,2000
Panama,2130,78,0.422,2000
Papua New Guinea,,63.1,0,2000
Paraguay,2590,75.6,0,2000
Peru,2370,74.6,3.25,2000
Philippines,2390,70.3,19.1,2000
Poland,3420,73.9,0.0191,2000
Portugal,3540,76.8,,2000
Qatar,,71.2,,2000
Romania,3140,71.2,0,2000
Russia,2880,65.6,0,2000
Rwanda,1860,50.5,6.66,2000
Samoa,2770,68.5,,2000
San Marino,,81.5,,2000
Sao Tome and Principe,2380,65,0,2000
Saudi Arabia,3110,70.4,,2000
Senegal,2160,60.6,0,2000
Serbia,0,71.4,0,2000
Serbia and Montenegro,2650,,,2000
Seychelles,,72.2,0,2000
Sierra Leone,1990,51.6,0,2000
Singapore,,79.4,,2000
Slovak Republic,2780,73.7,0,2000
Slovenia,3060,76.3,0,2000
Solomon Islands,2350,57,,2000
Somalia,,51.4,,2000
South Africa,2890,55.6,11.5,2000
South Korea,3090,76.3,,2000
South Sudan,,57,,2000
Spain,3360,79.5,0.133,2000
Sri Lanka,2320,71.5,0,2000
St. Kitts and Nevis,2510,69.9,,2000
St. Lucia,2710,73.4,0,2000
St. Vincent and the Grenadines,2500,71.1,,2000
Sudan,2210,63.3,0,2000
Suriname,2550,69.8,0,2000
Sweden,3100,80,0.0302,2000
Switzerland,3440,80.3,0.0244,2000
Syria,,71.6,0,2000
Taiwan,3120,76.9,,2000
Tajikistan,1960,66.6,0,2000
Tanzania,2010,53.4,28.7,2000
Thailand,2600,71.8,1.89,2000
Timor-Leste,1870,65.5,0,2000
Togo,2170,56.4,0,2000
Tonga,,70.7,,2000
Trinidad and Tobago,2780,70.5,0,2000
Tunisia,3250,74.3,0.244,2000
Turkey,3660,74.7,0,2000
Turkmenistan,2610,66.3,0,2000
Tuvalu,,61.5,,2000
UAE,3300,69.1,,2000
Uganda,2270,49.6,0,2000
UK,3360,78,0,2000
Ukraine,2900,68,0,2000
Uruguay,2810,74.8,0.0159,2000
USA,3760,77,1.89,2000
USSR,0,,,2000
Uzbekistan,2370,65.1,,2000
Vanuatu,2700,63.6,,2000
Venezuela,2450,74.2,0,2000
Vietnam,2240,72.2,0,2000
Yemen,2090,63.5,0,2000
Yugoslavia,0,,,2000
Zambia,1870,45.3,0,2000
Zimbabwe,1980,47.5,,2000
Afghanistan,1740,54.8,,2001
Albania,2800,76,0,2001
Algeria,2890,71.3,0,2001
Andorra,,80.9,,2001
Angola,1830,53.4,0,2001
Antigua and Barbuda,2090,75.1,,2001
Argentina,3210,74.3,3.08,2001
Armenia,2240,72.5,0.576,2001
Australia,3050,80.1,0.262,2001
Austria,3730,78.9,0,2001
Azerbaijan,2370,67.1,0.509,2001
Bahamas,2770,71.3,,2001
Bahrain,,73.4,,2001
Bangladesh,2330,66,0,2001
Barbados,2840,75.2,,2001
Belarus,3050,68.6,0.0119,2001
Belgium,3750,78.3,0,2001
Belize,2760,70.6,0,2001
Benin,2320,57.6,0,2001
Bermuda,2610,,,2001
Bhutan,,67.1,0,2001
Bolivia,2080,67.2,1.85,2001
Bosnia and Herzegovina,2900,75.3,0.0109,2001
Botswana,2150,45,0,2001
Brazil,2890,71.5,18.1,2001
Brunei,2880,72.8,,2001
Bulgaria,2820,70.4,0.17,2001
Burkina Faso,2330,52.9,0,2001
Burundi,,45.8,0,2001
Cambodia,2170,60.9,0,2001
Cameroon,2160,54.3,4.07,2001
Canada,3500,79.6,0,2001
Cape Verde,2370,70.6,0,2001
Central African Republic,1990,43.9,0,2001
Chad,2020,52.5,0,2001
Chile,2870,77,0,2001
China,2820,71.7,0,2001
Colombia,2820,74.4,7.24,2001
Comoros,,62.2,0,2001
"Congo, Dem. Rep.",,54.2,0,2001
"Congo, Rep.",2230,54,0,2001
Costa Rica,2800,77.9,0.221,2001
Cote d'Ivoire,2630,51.5,0,2001
Croatia,2740,74.9,0.00266,2001
Cuba,3080,77.2,,2001
Cyprus,2650,77.1,,2001
Czech Republic,3170,75.5,0,2001
Czechoslovakia,0,,,2001
Denmark,3340,77.3,0,2001
Djibouti,1980,60.5,0,2001
Dominica,3040,72.2,,2001
Dominican Republic,2260,73.8,0.324,2001
Ecuador,2220,75,0,2001
Egypt,3410,68.3,0,2001
El Salvador,2630,73,0.862,2001
Equatorial Guinea,,58.9,,2001
Eritrea,,56.1,,2001
Estonia,3050,70.8,0.00791,2001
Eswatini,2310,46.3,0.462,2001
Ethiopia,1830,53.3,0,2001
Fiji,2880,66.2,0,2001
Finland,3170,78.4,0,2001
France,3640,79.3,0,2001
French Polynesia,2840,,,2001
Gabon,2700,59.5,0,2001
Gambia,2520,61.7,0,2001
Georgia,2640,70.8,0.764,2001
Germany,3360,78.7,0,2001
Ghana,2560,59.5,0,2001
Greece,3610,78.7,0,2001
Grenada,2290,72.1,,2001
Guatemala,2220,67.2,0,2001
Guinea,2330,54.7,0,2001
Guinea-Bissau,2280,51.8,0,2001
Guyana,2760,63.9,0,2001
Haiti,1900,57.8,5.38,2001
Honduras,2450,70.2,1.08,2001
"Hong Kong, China",3080,80.7,,2001
Hungary,3090,72.5,0,2001
Iceland,3150,80.6,,2001
India,2330,63.3,0,2001
Indonesia,2420,67.5,0,2001
Iran,3040,72.2,0,2001
Iraq,2250,69,0,2001
Ireland,3720,77.3,0,2001
Israel,3600,79,0.0213,2001
Italy,3670,79.9,0,2001
Jamaica,2800,74.7,0.973,2001
Japan,2890,81.9,0,2001
Jordan,2840,73,0,2001
Kazakhstan,2890,64.7,0.909,2001
Kenya,2070,54.9,0,2001
Kiribati,2880,56.7,,2001
Kuwait,3480,79.2,,2001
Kyrgyz Republic,2460,67.3,1.61,2001
Lao,2090,59,0,2001
Latvia,2900,70.1,0,2001
Lebanon,3320,75.1,,2001
Lesotho,2490,47.3,0,2001
Liberia,2040,55.7,0,2001
Libya,,75,,2001
Lithuania,3270,71.7,0.0104,2001
Luxembourg,3480,78.4,,2001
"Macao, China",2520,,,2001
Madagascar,1990,60,12.4,2001
Malawi,2240,46.3,0,2001
Malaysia,2820,73.3,0,2001
Maldives,2480,72.8,0,2001
Mali,2500,53.8,6.46,2001
Malta,3340,79,,2001
Marshall Islands,,63,,2001
Mauritania,2630,64.1,0,2001
Mauritius,2950,72.6,,2001
Mexico,3090,74.6,0,2001
"Micronesia, Fed. Sts.",,63.2,0,2001
Moldova,2530,69.2,0.908,2001
Monaco,,78.9,,2001
Mongolia,2220,61.3,,2001
Montenegro,0,73.8,0,2001
Morocco,3120,69.9,1.82,2001
Mozambique,1980,52.3,0,2001
Myanmar,1960,59.4,,2001
Namibia,2270,53.1,0,2001
Nauru,,58.9,,2001
Nepal,2280,66.1,0,2001
Netherlands,3250,78.4,0,2001
Netherlands Antilles,3050,,,2001
New Caledonia,2780,,,2001
New Zealand,3120,78.6,,2001
Nicaragua,2300,73.7,0.744,2001
Niger,2340,52.3,0,2001
Nigeria,2610,54.8,0,2001
North Korea,2100,64,,2001
North Macedonia,2630,71.4,0,2001
Norway,3420,79.1,0,2001
Oman,2680,69.5,,2001
Pakistan,2310,61.2,0,2001
Palau,,66.5,,2001
Palestine,,69.6,0,2001
Panama,2270,78.1,0,2001
Papua New Guinea,,62.9,0,2001
Paraguay,2640,76,0.442,2001
Peru,2320,75.5,3.53,2001
Philippines,2370,70.2,0,2001
Poland,3420,74.3,0.0191,2001
Portugal,3540,77.2,,2001
Qatar,,71.5,,2001
Romania,3240,71.2,0.544,2001
Russia,2950,65.5,1.3,2001
Rwanda,1910,51.5,0,2001
Samoa,2820,68.6,,2001
San Marino,,81.6,,2001
Sao Tome and Principe,2400,65.5,0.0399,2001
Saudi Arabia,3080,70.6,,2001
Senegal,2170,61.1,4.47,2001
Serbia,0,71.9,0,2001
Serbia and Montenegro,2610,,,2001
Seychelles,,72.3,0,2001
Sierra Leone,2000,52.2,0,2001
Singapore,,79.8,,2001
Slovak Republic,2790,73.9,0,2001
Slovenia,3060,76.3,0,2001
Solomon Islands,2320,56.9,,2001
Somalia,,51.8,,2001
South Africa,2910,54.8,0,2001
South Korea,3080,76.9,,2001
South Sudan,,57.7,,2001
Spain,3330,79.8,0,2001
Sri Lanka,2360,72.6,0,2001
St. Kitts and Nevis,2540,70.3,,2001
St. Lucia,2610,73.5,0,2001
St. Vincent and the Grenadines,2470,71.7,,2001
Sudan,2250,63.7,0,2001
Suriname,2510,69.6,0,2001
Sweden,3120,80.2,0,2001
Switzerland,3380,80.6,0,2001
Syria,,72.4,0,2001
Taiwan,3010,77.2,,2001
Tajikistan,1960,66.8,0,2001
Tanzania,2030,54,0,2001
Thailand,2580,72.8,0,2001
Timor-Leste,1940,65.8,0,2001
Togo,2160,56.3,0,2001
Tonga,,71,,2001
Trinidad and Tobago,2830,70.6,0,2001
Tunisia,3260,74.5,0,2001
Turkey,3620,75,0,2001
Turkmenistan,2620,66.7,0,2001
Tuvalu,,64.7,,2001
UAE,3320,69.2,,2001
Uganda,2280,50.3,0,2001
UK,3400,78.3,0,2001
Ukraine,2990,68.2,0,2001
Uruguay,2870,75,0.0203,2001
USA,3710,77.1,0,2001
USSR,0,,,2001
Uzbekistan,2290,65.1,,2001
Vanuatu,2670,63.6,,2001
Venezuela,2510,74.1,2.38,2001
Vietnam,2300,72.4,0,2001
Yemen,2070,64,0,2001
Yugoslavia,0,,,2001
Zambia,1850,45.2,0,2001
Zimbabwe,2030,47,,2001
Afghanistan,1830,55.5,,2002
Albania,2860,75.9,0.0223,2002
Algeria,2930,71.8,0,2002
Andorra,,81.1,,2002
Angola,1920,54.5,0,2002
Antigua and Barbuda,2070,75.4,,2002
Argentina,2980,74.3,4.73,2002
Armenia,2260,72.7,0.442,2002
Australia,3080,80.3,0,2002
Austria,3650,79,0,2002
Azerbaijan,2460,67.2,0.00163,2002
Bahamas,2730,71.9,,2002
Bahrain,,72.7,,2002
Bangladesh,2310,66.3,0,2002
Barbados,2810,75.1,,2002
Belarus,2980,68,0.0464,2002
Belgium,3750,78.5,0,2002
Belize,2780,71.4,0,2002
Benin,2400,57.9,0,2002
Bermuda,2580,,,2002
Bhutan,,67.7,0,2002
Bolivia,2100,67.6,1.94,2002
Bosnia and Herzegovina,2900,75.1,0,2002
Botswana,2110,44.9,0,2002
Brazil,2930,71.8,15.9,2002
Brunei,2930,72.9,,2002
Bulgaria,2780,70.7,0,2002
Burkina Faso,2410,53.4,0,2002
Burundi,,46.9,0,2002
Cambodia,2260,61.5,0,2002
Cameroon,2200,54.2,0,2002
Canada,3500,79.8,0,2002
Cape Verde,2320,70.8,0.0965,2002
Central African Republic,2000,44.2,0,2002
Chad,1970,52.6,0,2002
Chile,2900,77.4,0,2002
China,2830,72,359,2002
Colombia,2780,73.4,4.59,2002
Comoros,,62.5,0,2002
"Congo, Dem. Rep.",,54.4,0,2002
"Congo, Rep.",2260,54.7,0,2002
Costa Rica,2770,78.4,0.225,2002
Cote d'Ivoire,2670,51.7,4.95,2002
Croatia,2820,75,0,2002
Cuba,3150,77.9,,2002
Cyprus,2640,77.3,,2002
Czech Republic,3240,75.7,0,2002
Czechoslovakia,0,,,2002
Denmark,3370,77.4,0,2002
Djibouti,2050,60.6,0.14,2002
Dominica,2980,72.3,,2002
Dominican Republic,2290,73.9,0.471,2002
Ecuador,2240,74.1,0,2002
Egypt,3430,68.3,0,2002
El Salvador,2640,74.3,0.882,2002
Equatorial Guinea,,60,,2002
Eritrea,,56.6,,2002
Estonia,3040,71.4,0.00786,2002
Eswatini,2390,45,0,2002
Ethiopia,1840,54.2,0,2002
Fiji,2900,66.6,0,2002
Finland,3150,78.6,0,2002
France,3660,79.5,0,2002
French Polynesia,2870,,,2002
Gabon,2640,59.8,0,2002
Gambia,2460,61.7,0,2002
Georgia,2750,70.4,0.618,2002
Germany,3430,78.8,0,2002
Ghana,2660,59.5,0,2002
Greece,3640,78.9,0,2002
Grenada,2310,72.1,,2002
Guatemala,2360,67.8,2.34,2002
Guinea,2360,55.1,0,2002
Guinea-Bissau,2270,52.1,0.651,2002
Guyana,2730,63.9,0,2002
Haiti,1900,58.2,0,2002
Honduras,2470,70.4,1.78,2002
"Hong Kong, China",3130,81.1,,2002
Hungary,3080,72.6,0,2002
Iceland,3210,80.8,,2002
India,2290,63.8,0,2002
Indonesia,2450,67.7,63.2,2002
Iran,3030,72.5,0,2002
Iraq,2270,69.3,0,2002
Ireland,3580,77.8,0,2002
Israel,3700,78.9,0,2002
Italy,3660,80.2,0,2002
Jamaica,2800,75.5,0.00811,2002
Japan,2850,82.2,0,2002
Jordan,2940,73.3,0,2002
Kazakhstan,2940,64.7,0.559,2002
Kenya,2020,55,0,2002
Kiribati,2860,57,,2002
Kuwait,3450,78.6,,2002
Kyrgyz Republic,2490,67.2,1.48,2002
Lao,2140,59.7,2.29,2002
Latvia,3010,70.5,0.00947,2002
Lebanon,3270,75.3,,2002
Lesotho,2520,46.1,0,2002
Liberia,2070,55.4,0,2002
Libya,,75,,2002
Lithuania,3280,72,0.00551,2002
Luxembourg,3480,78.7,,2002
"Macao, China",2580,,,2002
Madagascar,1950,60,0,2002
Malawi,2170,46.7,0,2002
Malaysia,2770,73.5,0,2002
Maldives,2500,73.7,0,2002
Mali,2500,54.3,0,2002
Malta,3340,79.1,,2002
Marshall Islands,,63,,2002
Mauritania,2640,64.5,0,2002
Mauritius,2950,72.7,,2002
Mexico,3100,74.6,4.16,2002
"Micronesia, Fed. Sts.",,62.5,0,2002
Moldova,2570,69.1,0.542,2002
Monaco,,78.9,,2002
Mongolia,2230,61.7,,2002
Montenegro,0,73.9,0,2002
Morocco,3150,70.3,0,2002
Mozambique,2040,52.2,0,2002
Myanmar,2000,59.8,,2002
Namibia,2220,52.5,0,2002
Nauru,,58.8,,2002
Nepal,2280,66.2,0,2002
Netherlands,3250,78.6,0,2002
Netherlands Antilles,3070,,,2002
New Caledonia,2780,,,2002
New Zealand,3120,78.8,,2002
Nicaragua,2290,73.6,0,2002
Niger,2310,53.3,0,2002
Nigeria,2610,55.1,0,2002
North Korea,2180,64.2,,2002
North Macedonia,2720,71.5,0.011,2002
Norway,3460,79.3,0,2002
Oman,2630,69.6,,2002
Pakistan,2260,61.4,53.7,2002
Palau,,66.7,,2002
Palestine,,68.8,0,2002
Panama,2350,78.1,0.352,2002
Papua New Guinea,,62.7,0,2002
Paraguay,2680,76.1,0.698,2002
Peru,2340,75.9,3.09,2002
Philippines,2390,70.2,0,2002
Poland,3430,74.7,0.00765,2002
Portugal,3530,77.5,,2002
Qatar,,71.5,,2002
Romania,3320,71.2,0.572,2002
Russia,3030,65.4,0.742,2002
Rwanda,2090,53.2,0,2002
Samoa,2820,68.8,,2002
San Marino,,81.7,,2002
Sao Tome and Principe,2460,65.9,0,2002
Saudi Arabia,3020,70.7,,2002
Senegal,2140,61.4,0,2002
Serbia,0,72.2,0.0195,2002
Serbia and Montenegro,2630,,,2002
Seychelles,,72.1,0,2002
Sierra Leone,2050,52.4,0,2002
Singapore,,80.1,,2002
Slovak Republic,2800,74.1,0,2002
Slovenia,3080,76.8,0.001,2002
Solomon Islands,2390,56.9,,2002
Somalia,,52.2,,2002
South Africa,2910,53.7,0,2002
South Korea,3080,77.3,,2002
South Sudan,,58.1,,2002
Spain,3360,79.9,0,2002
Sri Lanka,2330,73.4,2.64,2002
St. Kitts and Nevis,2510,70.7,,2002
St. Lucia,2680,73.6,0,2002
St. Vincent and the Grenadines,2660,71.7,,2002
Sudan,2280,63.9,0,2002
Suriname,2560,69.5,0,2002
Sweden,3130,80.3,0,2002
Switzerland,3440,80.9,0.0248,2002
Syria,,72.8,0,2002
Taiwan,3000,77.7,,2002
Tajikistan,1940,67,0,2002
Tanzania,2110,54.6,0,2002
Thailand,2630,73.1,1.05,2002
Timor-Leste,2060,66.1,0,2002
Togo,2160,56.3,0,2002
Tonga,,71,,2002
Trinidad and Tobago,2790,71.2,0,2002
Tunisia,3190,74.7,0,2002
Turkey,3610,75.2,0.748,2002
Turkmenistan,2680,66.6,0,2002
Tuvalu,,65.1,,2002
UAE,3360,69.4,,2002
Uganda,2330,51,14.7,2002
UK,3420,78.5,0,2002
Ukraine,3050,68.1,0.203,2002
Uruguay,2840,75,0.0263,2002
USA,3780,77.2,0,2002
USSR,0,,,2002
Uzbekistan,2290,65,,2002
Vanuatu,2700,63.6,,2002
Venezuela,2220,74,4.01,2002
Vietnam,2360,72.5,31.9,2002
Yemen,2080,64.5,0,2002
Yugoslavia,0,,,2002
Zambia,1850,45.9,0,2002
Zimbabwe,2020,46.6,,2002
Afghanistan,1890,56.5,,2003
Albania,2770,75.6,0,2003
Algeria,2970,72,0,2003
Andorra,,81.2,,2003
Angola,1980,55.1,0,2003
Antigua and Barbuda,2070,75.6,,2003
Argentina,3010,74.4,3.42,2003
Armenia,2430,72.8,0.324,2003
Australia,3100,80.6,0.271,2003
Austria,3610,79.1,0,2003
Azerbaijan,2550,67.1,0.00329,2003
Bahamas,2690,72.4,,2003
Bahrain,,72.2,,2003
Bangladesh,2350,66.7,0,2003
Barbados,2840,74.9,,2003
Belarus,2820,68.6,0.049,2003
Belgium,3720,78.7,0,2003
Belize,2810,71.8,0,2003
Benin,2360,58.1,3.63,2003
Bermuda,2490,,,2003
Bhutan,,68.2,0.148,2003
Bolivia,2120,68.1,0,2003
Bosnia and Herzegovina,2830,75.3,0,2003
Botswana,2110,45.7,0.446,2003
Brazil,3070,72,17.5,2003
Brunei,2980,72.9,,2003
Bulgaria,2760,70.9,0.0485,2003
Burkina Faso,2490,54,6.19,2003
Burundi,,47.9,0,2003
Cambodia,2260,62.2,0,2003
Cameroon,2230,54.3,0,2003
Canada,3520,80,0,2003
Cape Verde,2410,71.2,0,2003
Central African Republic,1970,44.5,2.39,2003
Chad,2020,52.8,5.77,2003
Chile,2890,77.4,0.277,2003
China,2830,72.3,0,2003
Colombia,2800,75.2,4.33,2003
Comoros,,63.3,0,2003
"Congo, Dem. Rep.",,54.8,0,2003
"Congo, Rep.",2240,55.3,0,2003
Costa Rica,2750,78.5,0.225,2003
Cote d'Ivoire,2690,52.1,0,2003
Croatia,2870,75.1,0,2003
Cuba,3250,77.8,,2003
Cyprus,2610,77.7,,2003
Czech Republic,3320,75.6,0,2003
Czechoslovakia,0,,,2003
Denmark,3340,77.7,0,2003
Djibouti,2090,60.9,0,2003
Dominica,3010,72.2,,2003
Dominican Republic,2140,73.5,0.583,2003
Ecuador,2200,73.9,1.59,2003
Egypt,3380,68.2,0,2003
El Salvador,2600,73.9,0.808,2003
Equatorial Guinea,,60.5,,2003
Eritrea,,57,,2003
Estonia,3070,72.1,0.00507,2003
Eswatini,2440,43.9,0,2003
Ethiopia,1880,55,0,2003
Fiji,2890,66.5,0.238,2003
Finland,3150,78.8,0,2003
France,3590,79.7,0,2003
French Polynesia,2870,,,2003
Gabon,2660,59.8,0,2003
Gambia,2460,61.8,0.454,2003
Georgia,2860,70.6,0.676,2003
Germany,3390,78.9,0,2003
Ghana,2670,59.6,0,2003
Greece,3650,79.1,0,2003
Grenada,2310,72.2,,2003
Guatemala,2350,68.1,2.17,2003
Guinea,2400,55.4,5.18,2003
Guinea-Bissau,2230,52.4,0,2003
Guyana,2710,64.1,0,2003
Haiti,1870,58.5,0,2003
Honduras,2480,70.5,1.7,2003
"Hong Kong, China",3180,81.4,,2003
Hungary,3060,72.7,0,2003
Iceland,3240,81.2,,2003
India,2280,64.5,0,2003
Indonesia,2470,67.8,0,2003
Iran,3040,71.8,0,2003
Iraq,2250,68.1,0,2003
Ireland,3590,78.3,0,2003
Israel,3580,79.5,0,2003
Italy,3620,80.3,0,2003
Jamaica,2810,76.3,0,2003
Japan,2840,82.3,0,2003
Jordan,3080,73.8,0.0599,2003
Kazakhstan,2970,64.6,0.359,2003
Kenya,2000,55.2,0,2003
Kiribati,2870,57.2,,2003
Kuwait,3500,78.9,,2003
Kyrgyz Republic,2620,67.1,1.25,2003
Lao,2180,60.4,0,2003
Latvia,3050,71,0,2003
Lebanon,3200,75.3,,2003
Lesotho,2520,45,1.05,2003
Liberia,2050,55.5,0,2003
Libya,,75.5,,2003
Lithuania,3290,72,0.00239,2003
Luxembourg,3490,79,,2003
"Macao, China",2650,,,2003
Madagascar,1980,60.3,0,2003
Malawi,2170,47.4,0,2003
Malaysia,2790,73.5,0,2003
Maldives,2400,74.4,0,2003
Mali,2520,54.9,0,2003
Malta,3370,79.3,,2003
Marshall Islands,,63,,2003
Mauritania,2710,65,0,2003
Mauritius,2960,72.9,,2003
Mexico,3110,74.7,0,2003
"Micronesia, Fed. Sts.",,63.6,0,2003
Moldova,2560,69.1,0.226,2003
Monaco,,79,,2003
Mongolia,2220,62.1,,2003
Montenegro,0,73.8,0,2003
Morocco,3200,70.3,0,2003
Mozambique,2090,52.1,14.8,2003
Myanmar,2060,60.3,,2003
Namibia,2250,52.1,0,2003
Nauru,,58.7,,2003
Nepal,2340,67,13,2003
Netherlands,3140,78.9,0,2003
Netherlands Antilles,3060,,,2003
New Caledonia,2760,,,2003
New Zealand,3120,79.1,,2003
Nicaragua,2320,73.6,0,2003
Niger,2400,53.7,0,2003
Nigeria,2610,55.5,0,2003
North Korea,2190,69.7,,2003
North Macedonia,2740,71.7,0.00936,2003
Norway,3440,79.7,0,2003
Oman,2630,69.8,,2003
Pakistan,2310,61.5,0,2003
Palau,,66.8,,2003
Palestine,,70,0,2003
Panama,2370,78,0.346,2003
Papua New Guinea,,62.5,0,2003
Paraguay,2730,75.8,0.444,2003
Peru,2280,76,2.42,2003
Philippines,2390,70.3,18.9,2003
Poland,3420,74.9,0,2003
Portugal,3520,77.8,,2003
